Visit Order,City,State/Province,Country,Latitude,Longitude,Year Visited,Location Type,Census Name,Capitol,Capitol Num,Number of Visits,Tour Stop,Theatre,Theatre Address,Theatre Lat,Theatre Lon,Company Housing,Digs,Hotel Brand,Digs Address,Digs Lat,Digs Lon,Housing Dist,Num Hotels,Joel Could Live,Michael Could Live,Highlight,Original  Stop Number,AKA,Manhole,Population
1,St. Petersburg,Florida,USA,27.7712264,-82.6340259,2020,City,St. Petersburg,FALSE,-,~,FALSE,,,,,FALSE,Home,,3001 58th Ave S,,,,0,TRUE,,,1,,https://photos.app.goo.gl/KebEhrHvXQ76q3SLA,259343
2,Miami,Florida,USA,25.7741566,-80.1935973,2021,City,Miami,FALSE,-,2,FALSE,,,,,FALSE,Hotel - Luxury,Mandarin Oriental; Mondrian Hotel,"500 Brickell Key Dr, Miami, FL 33131; 1100 West Ave, Miami Beach, FL 33139",,,,2,TRUE,,,2,,https://photos.app.goo.gl/gpJ7cWKTZWwh4Xqv6,443665
3,Memphis,Tennessee,USA,35.1460249,-90.0517638,2021,City,Memphis,FALSE,-,1,TRUE,Orpheum,"The Orpheum, 203, South Main Street, Cotton Row Historic District, Downtown, Memphis, Shelby County, West Tennessee, Tennessee, 38103, United States",35.1402205,-90.055535,TRUE,IHG,Crowne Plaza,"300 N 2nd St, Memphis, TN 38105",35.1521501,-90.0479616,0.9274794093,1,FALSE,,,3,,https://photos.app.goo.gl/eJQqHCD6RHFTFMbU6,630027
4,Denver,Colorado,USA,39.7392364,-104.984862,2021,City,Denver,TRUE,26,2,TRUE,Denver Performing Arts Complex,"Denver Performing Arts Complex, 13th Street, Central Business District, Denver, Colorado, 80217, United States",39.744659,-104.9980984,FALSE,Combo,Residence Inn,"1700 Bassett St, Denver, CO 80202; 1725 Champa St, Denver, CO 80202",39.75637002,-105.0030942,0.8506272837,2,TRUE,,,4,,https://photos.app.goo.gl/Bv5LzHaStGoUj7KP6,710800
5,Rocky Mountain National Park,Colorado,USA,40.3553915,-105.7176957,2021,National Park,Rocky Mountain National Park,FALSE,-,1,FALSE,,,,,FALSE,Visit,,,,,,0,FALSE,,,5,,FALSE,0
6,Estes Park,Colorado,USA,40.3771926,-105.523216,2021,City,Estes Park,FALSE,-,1,FALSE,,,,,FALSE,Visit,,,,,,0,FALSE,,,-,,FALSE,5906
7,Boulder,Colorado,USA,40.0149856,-105.270545,2021,City,Boulder,FALSE,-,1,FALSE,,,,,FALSE,Visit,,,,,,0,FALSE,,,189,,https://photos.app.goo.gl/TEiNpgA5fXnv3cB1A,106598
8,Colorado Springs,Colorado,USA,38.8339578,-104.825348,2021,City,Colorado Springs,FALSE,-,1,FALSE,,,,,FALSE,Visit,,,,,,0,FALSE,,,6,,FALSE,479612
9,Nashville,Tennessee,USA,36.1622767,-86.7742984,2022,City,Nashville-Davidson metropolitan government (balance),TRUE,50,1,TRUE,Tennessee Performing Arts Center,"Tennessee Performing Arts Center (TPAC), 505, Deaderick Street, Downtown Nashville, Nashville, Davidson County, Middle Tennessee, Tennessee, 37219, United States",36.164551,-86.7824167,TRUE,Marriot,Towne Place Suites,"310 Gay St, Nashville, TN 37201",36.16888,-86.7810241,0.3084657138,1,FALSE,,,7,,https://photos.app.goo.gl/zNZ1myi1CEKHDLAJ6,684103
10,Atlanta,Georgia,USA,33.7544657,-84.3898151,2022,City,Atlanta,TRUE,40,3,TRUE,The Fox,"Parking lot buffers north of the Fox Theatre, Old Fourth Ward, Atlanta, Fulton County, Georgia, United States",33.773546,-84.3852876,FALSE,Hotel - Luxury,Ritz-Carlton,"2411 Lost Valley Trail SE, Conyers, GA 30094",33.62317864,-84.01670164,23.62732617,1,FALSE,,,8,,https://photos.app.goo.gl/aHGkHutvXNebE37i6,494838
